NomeBanco,CodInst,AnoMes,DataRef,Ano,Trimestre,AnoTri,AtivoTotal,Captacoes,CarteiraCreditoSimples,CarteiraCredito,LucroLiquido,PassivoTotal,PassivoExigivel,PatrimonioLiquido,TVM,Alavancagem,CoberturaCapt,CreditoSobreAtivo,ROE,CrescAtivo_QoQ,CrescAtivo_YoY,AtivoBase100,CrescPL_QoQ,CrescPL_YoY
Banco Inter,416968,202203,2022-03-01,2022,1,2022Q1,38265336857.96,24540009945.07,,17902820587.88,17003110.46,29837167804.54,,8428169053.42,,4.540171965633818,0.6413117447825409,0.4678600022347859,0.0020174145003772135,0.048692770625576864,0.8103515100339818,642.2394123305817,-0.0071237936246832945,1.6614186664897388
Banco Inter,416968,202206,2022-06-01,2022,2,2022Q2,40558432147.98,26466662629.56,,19154234476.8,28998405.84,32209881973.04,,8348550174.94,,4.858140790687827,0.6525563545699871,0.4722626951385735,0.003473466078822292,0.05992617544520562,0.3543537165280384,680.7263640317299,-0.009446758599092497,-0.024716013526089653
Banco Inter,416968,202209,2022-09-01,2022,3,2022Q3,43556859757.89,29470171929.21,,20632343800.29,-67605457.7299999,35205461438.19,,8351398319.7,,5.215516981766313,0.6765908307674017,0.4736875870982092,-0.008095106369256309,0.07392858774644062,0.30579559342588714,731.051502766365,0.00034115441607451835,-0.0015783285652505308
Banco Inter,416968,202212,2022-12-01,2022,4,2022Q4,45892486308.13,32592442899.7,,22430408242.65,-118986797.74,38813644134.74,,7078842173.39,,6.483049796002509,0.710191264880895,0.48875992666966017,-0.016808793701783887,0.053622473319301145,0.257721022972198,770.2522924684894,-0.15237641621142461,-0.16608056647925673
Banco Inter,416968,202303,2023-03-01,2023,1,2023Q1,47001140312.87,33495651534.1,,23564214601.69,-9736448.21999981,39905226808.52,,7095913504.35,,6.623691267383254,0.7126561464494535,0.5013541042798396,-0.0013721204766702815,0.024157636552883943,0.22829548024984314,788.8597674039689,0.002411599318342228,-0.15807176394135025
Banco Inter,416968,202306,2023-06-01,2023,2,2023Q2,49373594807.0,35487069302.36,,24830014415.93,26546260.7400001,42117126579.45,,7256468227.55,,6.804080615904522,0.7187459094497365,0.5029006802723163,0.0036582893919681514,0.05047653053388501,0.21734475896053662,828.6786715402886,0.022626364188567782,-0.13081097010929188
Banco Inter,416968,202309,2023-09-01,2023,3,2023Q3,54184867632.24,39225851365.81,,26629429358.49,45118061.8200001,46968647003.0,,7216220629.24,,7.508759836511077,0.7239263115311296,0.49145509663745107,0.006252311859366175,0.09744627354048507,0.24400307858338688,909.4303200443695,-0.005546444502739778,-0.13592666126129382
Banco Inter,416968,202312,2023-12-01,2023,4,2023Q4,59333590535.84,43384063390.34,,29061217304.66,170105036.55,51929983239.01,,7403607296.83,,8.014146098921918,0.7311889100008905,0.4897936740758306,0.022975966948278553,0.09502141702264688,0.2928824587420287,995.8456777383449,0.025967424946891526,0.045878282844166396
Banco Inter,416968,202403,2024-03-01,2024,1,2024Q1,61138422682.15,44301718810.73,,30059972856.11,70161938.3099995,53863537604.09,,7274885078.06,,8.404039655077801,0.724613375144602,0.4916707290992367,0.009644405039688907,0.030418387459963503,0.300785944238227,1026.1376974141197,-0.017386419026454103,0.025221780620674927
Banco Inter,416968,202406,2024-06-01,2024,2,2024Q2,65071152300.3,48317219408.87,,31946105308.8,164561764.97,57791960209.78,,7279192090.52,,8.939337153232282,0.7425290270854361,0.49094113411993034,0.022607146909107638,0.06432500947228736,0.317934263337748,1092.144014520154,0.0005920385564563979,0.0031315320700677773
Banco Inter,416968,202409,2024-09-01,2024,3,2024Q3,67398369378.11,50600123371.38,,32731397098.59,129432969.85,60178443252.55,,7219926125.56,,9.335049722947458,0.7507618335320464,0.48564078627725193,0.017927187563842387,0.03576419035996192,0.24385962951043494,1131.203660955946,-0.008141832805481863,0.0005134954306948991
Banco Inter,416968,202412,2024-12-01,2024,4,2024Q4,74392458250.65,56752272912.33,,34156335524.92,388155087.290001,67136434091.52,,7256024159.13,,10.25250972421923,0.7628766980802673,0.45913707287151734,0.053494183422969875,0.10377237516389481,0.25380004106971765,1248.5913516474375,0.004999778798595367,-0.019933950003424794
Banco Inter,416968,202503,2025-03-01,2025,1,2025Q1,79445244486.86,61012955063.98,33250352023.91,,217743819.44,,72198376581.14,7246867905.72,23976187616.7,10.962700786108348,0.7679875045770846,,0.030046610794179564,0.06792067845352934,0.29943235369163146,1333.3965233625406,-0.0012618829829114109,-0.0038512185470113147
Banco Inter,416968,202506,2025-06-01,2025,2,2025Q2,83407400792.85,63562979720.39,35989628648.07,,466689783.259999,,76096584088.77,7310816704.08,22965447632.39,11.40876651254329,0.7620784140996617,,0.0638355196348378,0.04987279391714039,0.2817876715618799,1399.8967333820322,0.00882433613968936,0.004344522464407197
Banco Inter,416968,202509,2025-09-01,2025,3,2025Q3,89463307696.4,68905957400.64,39181232084.35,,288275668.15,,82116386358.38,7346921338.02,26454581816.12,12.176979115514854,0.770214730205116,,0.03923761462616809,0.07260634962825896,0.3273808924738817,1501.5381250494256,0.004938522657783384,0.017589544581406713
Banco Master,33923798,201903,2019-03-01,2019,1,2019Q1,3105915870.72,2621751178.66,,882182811.06,602625.530000009,2942417792.27,,163498078.45,,18.99665060387748,0.8441153230761003,0.2840330671466308,0.0036858263761448446,,,100.0,,
Banco Master,33923798,201906,2019-06-01,2019,2,2019Q2,3152349620.96,2694919540.63,,799433230.85,8056824.10000004,2959016075.02,,193333545.94,,16.305238729435576,0.8548923389434524,0.2535991647419314,0.041673182275881036,0.014950099156818553,,101.49500991568186,0.18248206812488088,
Banco Master,33923798,201909,2019-09-01,2019,3,2019Q3,3438590540.89,2927660328.64,,906260969.56,7352131.89,3236638208.86,,201952332.03,,17.02674342170606,0.8514128954365827,0.263555942117329,0.03640528344534215,0.090802402762302,,110.71100068440943,0.04457987902769234,
Banco Master,33923798,201912,2019-12-01,2019,4,2019Q4,3701177824.9,3234759505.28,,883309088.09,30423629.42,3481603088.33,,219574736.57,,16.856118707992035,0.873981110423247,0.23865621428602005,0.1385570575889135,0.07636480147532643,,119.16542427280908,0.08726021810623208,
Banco Master,33923798,202003,2020-03-01,2020,1,2020Q1,4199363206.03,3689847576.94,,1031222606.78,13157065.1099999,3968622872.78,,230740333.25,,18.19951955031685,0.8786683589649091,0.2455664242852903,0.05702108913808592,0.13460184965402466,0.3520531079473579,135.2053107947358,0.05085100797304354,0.4112724469759663
Banco Master,33923798,202006,2020-06-01,2020,2,2020Q2,5005110330.39,4238662119.84,,2722927684.93,21472371.16,4769307260.19,,235803070.2,,21.225806458519983,0.8468668700675219,0.5440295028856693,0.09106060893010375,0.19187364484286618,0.587739601315469,161.14764657903427,0.02194127432638604,0.21966971150045622
Banco Master,33923798,202009,2020-09-01,2020,3,2020Q3,5645433369.58,4786536635.47,,3321087859.18,1033665.63000002,5307978290.95,,337455078.63,,16.729436677910815,0.8478599112092792,0.5882786389926123,0.0030631206802294855,0.1279338509886765,0.6417870352539299,181.76388558365235,0.43108857040657833,0.6709640103580041
Banco Master,33923798,202012,2020-12-01,2020,4,2020Q4,6071519261.65,5143878652.74,,3338186293.12,48637643.37,5649795097.06,,421724164.59,,14.39689676675921,0.8472144171938436,0.5498107062272273,0.11533046349688188,0.07547443467598636,0.6404289523198043,195.4824120925892,0.24971941836559575,0.9206406491830408
Banco Master,33923798,202103,2021-03-01,2021,1,2021Q1,6451685178.11,5447777121.28,,3725807566.47,15027119.8100001,6016758689.04,,434926489.07,,14.83396698119167,0.8443959943618806,0.5774937033678174,0.03455094179738851,0.0626146274230357,0.5363484560815837,207.722470493523,0.031305591636740404,0.884917486873743
Banco Master,33923798,202106,2021-06-01,2021,2,2021Q2,7196148307.99,6203025875.77,,4004198583.06,33514289.58,6739942939.54,,456205368.45,,15.77392289888999,0.861992500749697,0.5564363617428609,0.07346316351749192,0.11539049245705568,0.4377601756941236,231.69166865816683,0.048925231998401486,0.9346879922431137
Banco Master,33923798,202109,2021-09-01,2021,3,2021Q3,8379162043.57,7342363665.41,,4487341590.7,1172757.78999996,7864362926.32,,514799117.25,,16.276566456311265,0.8762646702893617,0.5355358408593489,0.0022780881914963307,0.16439540778592354,0.48423716923495985,269.78071500782727,0.12843721896363847,0.5255337668645594
Banco Master,33923798,202112,2021-12-01,2021,4,2021Q4,10354549564.89,9027676899.48,,4054190066.85,104268626.97,9707064099.92,,647485464.97,,15.99194132546243,0.8718560708899271,0.39153707666790905,0.16103624345425435,0.23575000830015846,0.7054297480851672,333.3815208101452,0.2577439301543403,0.535329296578215
Banco Master,33923798,202203,2022-03-01,2022,1,2022Q1,12186436713.49,10827460217.93,,5054333158.17,31917980.6699999,11404665389.29,,781771324.2,,15.588237041005039,0.8884845072017109,0.414750700061078,0.040827771091069526,0.17691616010140376,0.8888765302494157,392.3620993206424,0.2073959439942361,0.7974792151005925
Banco Master,33923798,202206,2022-06-01,2022,2,2022Q2,14403915168.97,12767790051.9,,7457911856.75,60005879.3,13375058813.84,,1028856355.13,,13.999928267100035,0.8864110835229949,0.5177697708756572,0.058322893182127473,0.18196282536184838,1.0016145516313357,463.7574154779327,0.3160579357177704,1.2552482418732485
Banco Master,33923798,202209,2022-09-01,2022,3,2022Q3,16773640425.27,15138563176.71,,9197822799.14,8436672.6900001,15718990927.29,,1054649497.98,,15.904469169517482,0.9025210266164578,0.5483498254370113,0.007999503822036702,0.16451952323386654,1.0018279080951484,540.0545643685323,0.02506972204758462,1.0486622114152433
Banco Master,33923798,202212,2022-12-01,2022,4,2022Q4,20541658008.83,18370606023.25,,9788673535.76,150821273.09,18975371953.1,,1566286055.73,,13.114882772327395,0.8943097979410056,0.47652791861067195,0.09629229126968548,0.22463922488068655,0.9838292221307479,661.3720031015562,0.4851247345492051,1.4190289056180911
Banco Master,33923798,202303,2023-03-01,2023,1,2023Q1,23077705673.51,20760738193.4,,10766368743.43,70936180.5800001,21416814858.54,,1660890814.97,,13.894775903090801,0.8996014806285725,0.4665268244489441,0.042709719350986594,0.12345876187744209,0.8937205531099759,743.0241717448781,0.06040069047023944,1.1245225599309592
Banco Master,33923798,202306,2023-06-01,2023,2,2023Q2,27331844219.47,24519832220.52,,11600541104.99,290555888.95,25476500015.71,,1855344203.76,,14.731414345693851,0.8971159071312558,0.4244331634499177,0.1566048436517417,0.18433975223295973,0.8975288245483646,879.9930634674291,0.1170777675674679,0.8033073271200915
Banco Master,33923798,202309,2023-09-01,2023,3,2023Q3,30857830428.63,27935561460.35,,13291067779.92,3813725.81000013,28999482499.01,,1858347929.62,,16.604980120670888,0.9052989491585024,0.43071945095623126,0.00205221301631066,0.12900652370352095,0.8396620916078383,993.517909468574,0.0016189588184836179,0.7620526375628549
Banco Master,33923798,202312,2023-12-01,2023,4,2023Q4,36141585997.5,32625849243.35,,16105549867.54,241232199.91,33759139886.88,,2382446110.62,,15.16994900174033,0.9027232298440585,0.44562377170315826,0.10125400059824334,0.17122900396677632,0.7594288631406598,1163.636991530032,0.2820237118391329,0.521079819298788
